"Location (city, country)",Latitude,Longitude,Question,Ground Truth Answer,Difficulty,Street View URL
"Washington D.C., USA",38.88918843,-77.02835864,How far is the tall obelisk monument visible from here? Give your answer in miles rounded to one decimal place.,0.6 miles,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.8891884318958,-77.0283586388139"
"Manhattan, NY",40.741,-73.9896,How many triangular sides does the distinctive building at this intersection have?,3,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=40.741,-73.9896"
"Los Angeles, CA",33.9857,-118.4732,What sport is being played in the fenced courts directly on the beach sand?,Basketball,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.9857,-118.4732"
"Chicago, IL",41.8827,-87.6233,What famous sculpture at Millennium Park is nicknamed 'The Bean'? Provide its official name.,Cloud Gate,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=41.8827,-87.6233"
"San Francisco, CA",37.8024,-122.4183,"How many hairpin turns are on this steep, winding street?",8,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.8024,-122.4183"
"Atlanta, GA",33.749,-84.388,What year is engraved on the rings monument visible here?,1996,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.749,-84.388"
"Seattle, WA",47.6101,-122.3422,What food item is being thrown between vendors at this market?,Fish,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=47.6101,-122.3422"
"New Orleans, LA",29.9572,-90.0644,How many spires does the cathedral visible in this square have?,3,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.9572,-90.0644"
"Boston, MA",42.3467,-71.0972,What color is the tall left field wall at the ballpark visible here?,Green,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=42.3467,-71.0972"
"Las Vegas, NV",36.1127,-115.1729,What famous tower structure has a replica visible on this street?,Eiffel Tower,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=36.1127,-115.1729"
"Austin, TX",30.2747,-97.7404,What type of animal emerges from under this bridge at sunset?,Bats,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.2747,-97.7404"
"Philadelphia, PA",39.9496,-75.1503,What color is the historic building's brickwork visible here?,Red,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.9496,-75.1503"
"Denver, CO",39.7392,-104.9903,What metallic color is the capitol building's dome visible here?,Gold,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.7392,-104.9903"
"Nashville, TN",36.1627,-86.7816,What genre of music is this city most famous for based on the visible venues?,Country,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=36.1627,-86.7816"
"Miami, FL",25.7814,-80.1309,What architectural style are the colorful buildings in this area known for?,Art Deco,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.7814,-80.1309"
"Portland, OR",45.5202,-122.6742,Are food cart pods a prominent feature of downtown? Answer Yes or No.,Yes,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=45.5202,-122.6742"
"Honolulu, HI",21.2793,-157.8293,What is the name of the volcanic crater visible in the background?,Diamond Head,HARD,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=21.2793,-157.8293"
